object_id,time,groundwater_storage
25,2013-01-01 00:00:00,-40.6027353
25,2013-02-01 00:00:00,-8.875183778
25,2013-04-01 00:00:00,42.91745611
25,2013-05-01 00:00:00,40.40568973
25,2013-06-01 00:00:00,36.22316664
25,2013-07-01 00:00:00,18.02084128
25,2013-10-01 00:00:00,-23.26300102
25,2013-11-01 00:00:00,-54.80229796
25,2013-12-01 00:00:00,-79.87245543
25,2014-01-01 00:00:00,-72.11614246
25,2014-03-01 00:00:00,-55.42650788
25,2014-04-01 00:00:00,-66.66759371
25,2014-05-01 00:00:00,-75.90345273
25,2014-06-01 00:00:00,-60.51911727
25,2014-08-01 00:00:00,-56.24672302
25,2014-09-01 00:00:00,-84.23759353
25,2014-10-01 00:00:00,-105.0731096
25,2014-11-01 00:00:00,-130.5278551
25,2015-01-01 00:00:00,-104.0481391
25,2015-02-01 00:00:00,-125.3097381
25,2015-03-01 00:00:00,-85.60000274
25,2015-04-01 00:00:00,-68.83585852
25,2015-05-01 00:00:00,-58.43413106
25,2015-07-01 00:00:00,-20.07805275
25,2015-08-01 00:00:00,-41.94062162
25,2015-09-01 00:00:00,-84.54889987
25,2015-12-01 00:00:00,-126.3835831
25,2016-01-01 00:00:00,-108.3931753
25,2016-02-01 00:00:00,-92.10431101
25,2016-03-01 00:00:00,-80.20139544
25,2016-05-01 00:00:00,-54.25926213
25,2016-06-01 00:00:00,-42.46592786
25,2016-07-01 00:00:00,-50.80335747
25,2016-08-01 00:00:00,-82.74140331
25,2016-11-01 00:00:00,-112.3483896
25,2016-12-01 00:00:00,-146.1519809
25,2017-01-01 00:00:00,-134.211825
25,2017-03-01 00:00:00,-14.62739463
25,2017-04-01 00:00:00,-107.0246669
25,2017-05-01 00:00:00,-88.99435116
25,2017-06-01 00:00:00,-71.65468976
25,2018-06-01 00:00:00,-109.8691796
25,2018-07-01 00:00:00,-116.6574529
25,2018-10-01 00:00:00,-146.8754979
25,2018-11-01 00:00:00,-171.3542184
25,2018-12-01 00:00:00,-151.6700661
25,2019-01-01 00:00:00,-125.0934664
25,2019-02-01 00:00:00,-115.3538552
25,2019-03-01 00:00:00,-76.09690843
25,2019-04-01 00:00:00,-30.67787191
25,2019-05-01 00:00:00,-4.093712647
25,2019-06-01 00:00:00,-3.50887985
25,2019-07-01 00:00:00,-15.00478948
25,2019-08-01 00:00:00,-20.8529583
25,2019-09-01 00:00:00,-59.47282135
25,2019-10-01 00:00:00,-36.34907626
25,2019-11-01 00:00:00,-104.2102724
25,2019-12-01 00:00:00,-87.07596746
25,2020-01-01 00:00:00,-102.0249812
25,2020-02-01 00:00:00,-53.73880597
25,2020-03-01 00:00:00,-4.440626483
25,2020-04-01 00:00:00,17.40073657
25,2020-05-01 00:00:00,43.05014859
25,2020-06-01 00:00:00,4.670914548
25,2020-07-01 00:00:00,7.400551047
25,2020-08-01 00:00:00,-8.377224794
